sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
377,unknown,Female,20–29,Bachelor’s degree,Office worker,Living with parents,"36,000,000–45,000,000 VND",Arab,5,4,3,4,1,3,2,3,4,5,5,5,4,5,1,4,7,5,7,,,
379,unknown,Male,20–29,High school,Civil servant,Married,"26,000,000–35,000,000 VND",Arab,3,4,1,5,5,3,1,3,5,5,5,4,5,5,1,6,7,5,4,5,6,4
412,unknown,Male,>60,High school,Managerial employee,Single,"26,000,000–35,000,000 VND",Arab,3,4,2,3,1,2,5,5,1,5,1,5,5,4,2,1,7,2,6,3,5,4
442,unknown,Female,50–59,High school,Other,Single,">46,000,000 VND",Arab,3,5,5,4,1,2,2,2,2,3,5,3,5,4,3,1,5,2,4,3,3,4
488,unknown,Male,20–29,High school,Blue-collar worker,Married,"<15,000,000 VND",Arab,2,2,1,1,1,5,2,4,3,2,3,2,1,3,1,1,2,3,4,1,2,3
21,unknown,Female,20–29,Bachelor’s degree,Office worker,Married,">46,000,000 VND",Arab,2,3,5,1,4,5,3,3,2,2,5,3,3,4,4,1,7,6,2,6,7,3
26,unknown,Female,<20,High school,Managerial employee,Single,"26,000,000–35,000,000 VND",Arab,3,1,4,4,4,5,5,1,3,2,1,2,3,2,3,2,3,4,,,,
62,unknown,Male,<20,High school,Student,Living with parents,"<15,000,000 VND",Arab,1,3,3,4,5,4,1,5,2,2,1,1,1,5,3,1,2,5,6,7,3,6
66,unknown,Male,20–29,Bachelor’s degree,Office worker,Single,"<15,000,000 VND",Arab,3,2,2,1,3,5,4,5,1,4,3,4,2,3,1,1,7,6,5,6,4,1
86,unknown,Female,50–59,Postgraduate degree,Student,Living with parents,"36,000,000–45,000,000 VND",Arab,3,3,3,4,3,3,5,3,4,2,4,5,5,5,4,1,2,3,4,5,6,7
166,unknown,Male,50–59,Postgraduate degree,Managerial employee,Divorced,"16,000,000–25,000,000 VND",Arab,1,1,5,4,2,4,1,2,5,2,3,4,1,5,4,1,4,2,7,3,6,4
180,unknown,Male,>60,Bachelor’s degree,Student,Living with parents,"26,000,000–35,000,000 VND",Arab,5,3,1,3,3,5,2,5,2,4,1,3,2,2,1,6,5,7,4,,,
198,unknown,Female,40–49,Postgraduate degree,Student,Single,"26,000,000–35,000,000 VND",Arab,5,1,1,1,2,5,4,2,1,3,4,3,1,2,4,1,2,3,4,1,2,3
204,unknown,Male,20–29,High school,Civil servant,Single,"16,000,000–25,000,000 VND",Arab,2,1,3,4,4,4,5,2,1,5,1,3,4,3,5,1,3,2,4,3,6,4
235,unknown,Female,30–39,High school,Student,Married,"<15,000,000 VND",Arab,2,4,5,5,1,5,3,5,4,5,3,4,4,3,1,6,7,7,7,4,3,5
258,unknown,Male,>60,Bachelor’s degree,Office worker,Divorced,"<15,000,000 VND",Arab,3,4,5,4,4,2,4,3,5,1,4,1,2,1,3,3,2,4,5,1,2,3
345,unknown,Male,<20,Postgraduate degree,Other,Married,"36,000,000–45,000,000 VND",Arab,1,4,1,3,5,5,5,4,5,4,1,3,2,4,3,1,2,3,4,1,2,3
346,unknown,Male,20–29,Bachelor’s degree,Student,Living with parents,"16,000,000–25,000,000 VND",Arab,4,3,5,4,4,4,2,2,3,5,1,1,4,3,5,3,7,,,,,
363,unknown,Female,30–39,High school,Other,Divorced,"16,000,000–25,000,000 VND",Arab,4,1,5,2,4,2,2,2,4,2,5,4,2,2,4,1,2,3,4,1,2,3
364,unknown,Male,<20,High school,Other,Living with parents,"36,000,000–45,000,000 VND",Arab,4,2,3,4,4,1,5,3,5,3,2,3,5,2,4,1,3,7,2,4,7,3
372,unknown,Female,30–39,Postgraduate degree,Office worker,Married,"26,000,000–35,000,000 VND",Arab,3,1,1,1,2,2,3,2,5,2,4,3,1,5,4,1,5,7,5,7,5,5
398,unknown,Female,20–29,Postgraduate degree,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,3,3,3,2,3,1,1,3,4,1,3,3,5,1,4,1,4,2,3,3,6,4
401,unknown,Female,>60,Postgraduate degree,Blue-collar worker,Married,"<15,000,000 VND",Arab,1,2,2,5,1,3,3,5,1,1,5,2,1,2,1,1,2,3,4,1,2,3
467,unknown,Male,30–39,Postgraduate degree,Managerial employee,Married,"16,000,000–25,000,000 VND",Arab,4,4,2,4,1,2,2,4,1,5,5,2,3,3,1,1,2,3,4,1,2,3
